國語,#genre#
臥底難辨 復仇計劃 引爆地下黑勢力的終極對決｜黃大仙烏鼠 (國語) Die Harder｜鍾淑慧｜吳毅將｜張國梁｜張蘭英｜周潤堅｜國語中字｜8號電影院 HK Movie｜美亞｜1995,https://www.youtube.com/watch?v=SWwMhxiBEKs
萬梓良鐵血柔情 再現台灣黑幫傳奇 江湖片代表作｜大頭仔 (Gangland Odyssey)｜萬梓良｜恬妞｜陳松勇｜伍佰｜小戽斗｜國語中字｜8號電影院 HK Movie｜美亞｜1988,https://www.youtube.com/watch?v=31zayUAbGqI
車房阿星遇上電影女星 捲入失蹤巨款驚天陰謀｜大煞星與小鬼頭 (國語) Follow the Star｜喬宏｜露雲娜｜吳宇森執導｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=xeWbNE6gHI8
時空錯亂最強補鑊組合 清朝鬼魂×未來女戰士 三時空聯手補鑊拯救香港｜補鑊英雄 (國語) Welcome｜粱普智｜葉德嫻｜葉倩文｜林威｜陳國新｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=bJIfkhPKHLE
宣萱×黃日華 社工變逃犯 港產懸疑鉅獻｜天涯追兇 (國語) Burden of proof｜黃日華｜宣萱｜馬德鍾｜錢嘉樂｜粵語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=-oFv7v-NdaM
台灣寫實青春經典 80年代男孩的青春記憶｜風雨操場 (Lessons of The Playground)｜李興文｜張世｜鄒琳琳｜葉全真｜吳念真編劇｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=2F-EvGi4M6c
溫拿五虎領銜主演 經典主題曲響遍全城｜追趕跑跳碰 (國語) Making It｜譚詠麟｜鍾鎮濤｜彭健新｜陳友｜葉智強｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=XTf7XjzPGPg
劉錫明×梁小冰 賽車手戀上風塵女 黑道賭命換紅顏一笑｜疾風柔情 (國語) Love in the Fast Lane｜劉錫明｜梁小冰｜胡越山｜羅莽｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=R68FwNy2axE
明星情感大戲 掀起愛恨纏綿風暴｜第二道彩虹 (國語) Rainbow in My Heart｜鍾鎮濤｜陳秋霞｜胡茵夢｜ENG／繁CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=-o5cy9yHifw
黑道浪子愛上女警宿敵 人在江湖 怎捨摯友與戀人｜江湖戀曲 (國語) My Enemy, My Love｜林文龍｜陳法蓉｜曾偉權｜羅樂林｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=K_P8DI3pOmw
繆騫人精彩雙重角色 瘋狂笑彈笑料百出｜繼續跳舞 (國語) Keep On Dancing｜繆騫人｜吳耀漢｜黃霑｜新馬師曾｜ENG／繁CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=MdvkvfnGWpk
陳法蓉×梅小惠 智勇聯手 港產雙女探案動作喜劇 尹揚明型男護花｜智勇雙妹嘜 (國語) Hot and Spicy｜陳法蓉｜梅小惠｜尹揚明｜黃一山｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=hmaVYj5c0JU
香港城中風雲再起 失散兄弟 命運兩端｜警賊兄弟 (國語) Caper｜張國強｜溫碧霞｜何啓南｜午馬｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=pkfj8Y0ZXC8
麥翠嫻、黃秋生領銜主演 杜琪峯打造90年代最硬派女警傳奇｜特警90 (國語) Iron Butterfly｜梁佩玲｜黃秋生｜麥翠嫻｜陳庭威｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=ywueMSxnnOg
三○年代香港爭妍鬥豔史 群星共譜香江舊夢｜群鶯亂舞 (國語) Profiles of Pleasure｜鄭少秋｜關之琳｜劉嘉玲｜利智｜王小鳳｜國語配音｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=qUfzAGxZvt4
鄭伊健主演 殺手兄弟情 港產動作懸疑鉅獻｜殺手風雷 (國語) Killer's Code｜鄭伊健｜黃智賢｜陳妙瑛｜王偉｜郭政鴻｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=Plg1KV5SzzY
澎恰恰主演 最接地氣台灣家庭喜劇 鄭進一導演｜記得當時年紀小 (When We Were Young)｜澎恰恰｜蘇麗媚｜曾志偉｜胡瓜｜林美照｜8號電影院 HK Movie｜國語中字｜美亞｜台灣電影,https://www.youtube.com/watch?v=fTrvZ3T8KkI
李麗珍 葉子楣性感演出 童年陰影系列｜監獄不設防 (國語) Jail House Eros｜馮淬帆｜李麗珍｜葉子楣｜王玉環｜國語配音｜ HK Movie｜香港電影01｜1990,https://www.youtube.com/watch?v=nk158nqyYFg
溫碧霞化身亂世妖姬 羅嘉良陷入情與忠的修羅場｜唐朝妖姬 (國語) Knight and the Concubine｜江漢｜張鴻昌｜羅莽｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=M5jzogs9HYk
聞江龍領銜主演 70年代武俠經典再現 中日武道決一死戰 郭南宏導演｜中國鐵人 (Chinese Iron Man)｜聞江龍｜燕南希｜魯平｜易原｜國語中字｜8號電影院 HK Movie｜美亞｜1973,https://www.youtube.com/watch?v=cqYvqolGTAI
